station_name,start_count,end_count
Streeter Dr & Grand Ave,32182,60395
DuSable Lake Shore Dr & Monroe St,23574,35235
Michigan Ave & Oak St,16783,34921
Millennium Park,15609,28764
Kingsbury St & Kinzie St,14597,0
Clinton St & Washington Blvd,14358,0
DuSable Lake Shore Dr & North Blvd,13255,0
Shedd Aquarium,13036,20090
Clark St & Elm St,12512,0
Theater on the Lake,11533,0
Clinton St & Madison St,11343,0
Indiana Ave & Roosevelt Rd,10843,0
Damen Ave & Pierce Ave,10765,0
Ashland Ave & Division St,10741,19160
Wells St & Concord Ln,10719,0
Wells St & Elm St,10638,0
Morgan St & Polk St,10627,0
Wilton Ave & Belmont Ave,10387,0
Desplaines St & Kinzie St,10162,0
Broadway & Barry Ave,10154,25778
Michigan Ave & Washington St,10073,20993
Canal St & Adams St,10036,20984
Dusable Harbor,9801,0
Adler Planetarium,9504,13875
Clinton St & Jackson Blvd,9289,20792
State St & 33rd St,9260,16647
Clark St & Armitage Ave,9151,23724
Green St & Madison St,9102,0
Wabash Ave & Grand Ave,9077,0
State St & Chicago Ave,8946,22950
Michigan Ave & Lake St,8882,0
Halsted St & Polk St,8855,0
Broadway & Waveland Ave,8819,19546
Columbus Dr & Randolph St,8583,14790
Michigan Ave & 8th St,8465,14254
Larrabee St & Kingsbury St,8415,0
Clark St & Lincoln Ave,8366,23031
St. Clair St & Erie St,8272,20450
LaSalle St & Illinois St,8238,20350
Dearborn St & Erie St,8138,21644
New St & Illinois St,8091,0
Wells St & Hubbard St,7979,0
Pine Grove Ave & Waveland Ave,7951,0
Loomis St & Lexington St,7826,19538
McClurg Ct & Ohio St,7809,0
Peoria St & Jackson Blvd,7808,15076
Canal St & Madison St,7803,17665
Aberdeen St & Jackson Blvd,7777,11990
Broadway & Cornelia Ave,7771,17610
Clinton St & Lake St,7648,15691
Dearborn Pkwy & Delaware Pl,7644,0
Wells St & Huron St,7604,0
DuSable Lake Shore Dr & Belmont Ave,7383,0
DuSable Lake Shore Dr & Diversey Pkwy,7364,0
Orleans St & Merchandise Mart Plaza,7344,0
Daley Center Plaza,7277,0
Clark St & Drummond Pl,7274,0
Clark St & Wrightwood Ave,7256,0
Calumet Ave & 33rd St,7249,11256
Halsted St & Clybourn Ave,7240,18944
Kedzie Ave & Milwaukee Ave,7162,11435
California Ave & Milwaukee Ave,7057,9869
Milwaukee Ave & Grand Ave,7052,12812
Halsted St & Roscoe St,7035,0
Milwaukee Ave & Wabansia Ave,7032,11293
Sheridan Rd & Irving Park Rd,7029,15876
Southport Ave & Roscoe St,7026,18110
Sheffield Ave & Waveland Ave,7005,0
MLK Jr Dr & 29th St,6997,0
Clark St & Newport St,6962,18964
Lincoln Ave & Fullerton Ave,6949,0
State St & Randolph St,6910,0
Southport Ave & Waveland Ave,6897,17618
Wabash Ave & Roosevelt Rd,6864,0
Dearborn St & Monroe St,6789,0
Clarendon Ave & Gordon Ter,6785,12659
Franklin St & Jackson Blvd,6739,0
Montrose Harbor,6732,0
Kingsbury St & Erie St,6703,16548
Ogden Ave & Chicago Ave,6668,0
Lakeview Ave & Fullerton Pkwy,6614,0
Wood St & Milwaukee Ave,6589,12709
Fairbanks Ct & Grand Ave,6471,0
Halsted St & Fulton St,6411,13447
LaSalle St & Jackson Blvd,6408,0
DuSable Lake Shore Dr & Wellington Ave,6376,0
Pine Grove Ave & Irving Park Rd,6372,0
Broadway & Sheridan Rd,6310,13423
Sheffield Ave & Wellington Ave,6255,0
Sangamon St & Lake St,6245,0
Canal St & Monroe St,6228,13945
May St & Taylor St,6215,11893
Clark St & Wellington Ave,6179,0
Wells St & Evergreen Ave,6178,0
Franklin St & Monroe St,6128,0
Honore St & Division St,6077,0
Larrabee St & Webster Ave,6061,18772
McClurg Ct & Erie St,6050,0
Sheffield Ave & Fullerton Ave,6035,0
Clark St & Schiller St,6028,0
Canal St & Jackson Blvd,6018,12450
Halsted St & Wrightwood Ave,6003,0
Mies van der Rohe Way & Chicago Ave,5990,12959
Sheffield Ave & Webster Ave,5903,0
Clark St & Lake St,5839,0
900 W Harrison St,5825,10360
Stockton Dr & Wrightwood Ave,5802,14639
State St & Kinzie St,5788,14650
Broadway & Belmont Ave,5787,14743
Sheridan Rd & Montrose Ave,5772,0
Franklin St & Lake St,5766,0
Wilton Ave & Diversey Pkwy,5673,0
Wolcott Ave & Polk St,5669,0
Carpenter St & Huron St,5662,9037
Federal St & Polk St,5643,0
Field Museum,5613,7754
Mies van der Rohe Way & Chestnut St,5599,12406
Western Ave & Winnebago Ave,5538,8742
Rush St & Cedar St,5491,0
Cityfront Plaza Dr & Pioneer Ct,5482,10306
Aberdeen St & Randolph St,5478,10262
Clark St & Randolph St,5470,0
Rush St & Superior St,5416,13377
Desplaines St & Jackson Blvd,5414,11090
Sedgwick St & North Ave,5404,0
Halsted St & Dickens Ave,5340,14606
Franklin St & Illinois St,5178,0
Sheffield Ave & Wrightwood Ave,5165,0
Field Blvd & South Water St,5162,10303
Michigan Ave & Jackson Blvd,5157,0
Clark St & Winnemac Ave,5154,0
Lakefront Trail & Bryn Mawr Ave,5152,11159
Wabash Ave & Wacker Pl,5141,0
Franklin St & Chicago Ave,5136,11321
Damen Ave & Cortland St,5036,10078
Sedgwick St & Huron St,5008,0
Damen Ave & Chicago Ave,4997,9656
Lincoln Park Conservatory,4782,0
Desplaines St & Randolph St,4772,8101
Clarendon Ave & Junior Ter,4764,9622
Paulina St & Flournoy St,4723,0
Sheffield Ave & Kingsbury St,4702,12835
Racine Ave & Belmont Ave,4644,0
Sedgwick St & Webster Ave,4631,12973
Aberdeen St & Monroe St,4591,8800
Racine Ave & Fullerton Ave,4588,0
Michigan Ave & Madison St,4585,9279
Clark St & North Ave,4562,11371
Eckhart Park,4548,7659
Burling St & Diversey Pkwy,4541,0
Halsted St & Roosevelt Rd,4527,0
Southport Ave & Wellington Ave,4527,0
Burnham Harbor,4521,9101
Michigan Ave & Pearson St,4521,8946
Sheridan Rd & Buena Ave,4451,0
Ogden Ave & Race Ave,4444,8446
Franklin St & Adams St (Temp),4408,0
Wabash Ave & 9th St,4382,0
Wacker Dr & Washington St,4351,0
Ravenswood Ave & Lawrence Ave,4327,0
Dayton St & North Ave,4325,10278
Michigan Ave & 14th St,4249,0
Southport Ave & Belmont Ave,4246,10533
Ashland Ave & Blackhawk St,4242,7758
Clark St & Berwyn Ave,4204,0
Jefferson St & Monroe St,4200,0
Halsted St & Maxwell St,4160,0
Walsh Park,4152,5776
Racine Ave & Congress Pkwy,4148,0
Clark St & Grace St,4147,0
Wabash Ave & Adams St,4132,0
Lincoln Ave & Diversey Pkwy,4120,0
Morgan St & Lake St*,4096,0
Wells St & Walton St,4081,0
Rhodes Ave & 32nd St,4054,7419
State St & Van Buren St,4034,0
Damen Ave & Division St,4029,7011
Damen Ave & Thomas St (Augusta Blvd),3977,0
Wood St & Chicago Ave,3968,6772
Lakefront Trail & Wilson Ave,3966,7987
Green St & Washington Blvd,3945,7990
Clifton Ave & Armitage Ave,3931,0
Clark St & Chicago Ave,3914,8988
Leavitt St & North Ave,3855,0
Broadway & Wilson Ave,3751,10171
Wood St & Taylor St (Temp),3750,5822
Financial Pl & Ida B Wells Dr,3739,0
Rush St & Hubbard St,3731,0
Ritchie Ct & Banks St,3730,0
Elizabeth St & Randolph St,3725,6933
Stetson Ave & South Water St,3723,0
California Ave & Cortez St,3712,5545
Ashland Ave & Lake St,3705,4495
Southport Ave & Irving Park Rd,3698,0
Calumet Ave & 18th St,3683,7786
Wells St & Polk St,3683,0
LaSalle Dr & Huron St,3676,0
Albany Ave & Bloomingdale Ave,3659,4053
Sangamon St & Washington Blvd,3644,7449
Benson Ave & Church St,3632,5105
Ashland Ave & Augusta Blvd,3576,6068
Paulina Ave & North Ave,3574,0
Dearborn St & Adams St,3564,0
Elston Ave & Cortland St,3553,0
Western Ave & Walton St,3548,0
Western Ave & Division St,3508,5042
Ashland Ave & Chicago Ave,3497,5958
Orleans St & Chestnut St (NEXT Apts),3494,7930
Ada St & Washington Blvd,3485,6028
Larrabee St & Division St,3483,0
Spaulding Ave & Armitage Ave,3470,4803
Wood St & Augusta Blvd,3468,5296
Humboldt Blvd & Armitage Ave,3432,4564
Greenview Ave & Fullerton Ave,3400,0
State St & 35th St,3351,0
Campbell Ave & North Ave,3344,4931
Clark St & Ida B Wells Dr,3337,0
Throop St & Taylor St,3334,6431
Michigan Ave & Ida B Wells Dr,3303,0
Southport Ave & Wrightwood Ave,3302,0
Halsted St & Willow St,3268,0
Sheridan Rd & Noyes St (NU),3265,5735
Michigan Ave & 18th St,3257,8505
Broadway & Argyle St,3255,7284
Hermitage Ave & Polk St,3227,5629
Canal St & Taylor St,3209,6249
State St & Pearson St,3208,0
Orleans St & Hubbard St,3180,7936
McCormick Place,3156,0
State St & Harrison St,3152,0
Western Ave & Fillmore St,3151,5111
LaSalle St & Washington St,3146,7409
Southport Ave & Clybourn Ave,3139,0
Broadway & Berwyn Ave,3134,6830
Leavitt St & Chicago Ave,3126,5055
Logan Blvd & Elston Ave,3098,0
Elizabeth St & Fulton St,3074,5878
Loomis St & Jackson Blvd,3072,5686
Ashland Ave & Grace St,3060,6341
Clark St & Bryn Mawr Ave,3046,0
Fairbanks St & Superior St,3041,6899
Sheffield Ave & Willow St,3008,0
Damen Ave & Grand Ave,2978,0
Artesian Ave & Hubbard St,2963,3382
Bissell St & Armitage Ave*,2961,0
Chicago Ave & Sheridan Rd,2957,0
Broadway & Granville Ave,2944,6125
Broadway & Thorndale Ave,2901,6572
